year_film,year_ceremony,ceremony,category,film
1991,1992,64,DOCUMENTARY (Short Subject),"Deadly Deception: General Electric, Nuclear Weapons and Our Environment"
1991,1992,64,FOREIGN LANGUAGE FILM,Mediterraneo
1991,1992,64,BEST PICTURE,The Silence of the Lambs
1991,1992,64,SHORT FILM (Animated),Manipulation
1991,1992,64,SHORT FILM (Live Action),Session Man
1992,1993,65,DOCUMENTARY (Feature),The Panama Deception
1992,1993,65,DOCUMENTARY (Short Subject),Educating Peter
1992,1993,65,FOREIGN LANGUAGE FILM,Indochine
1992,1993,65,BEST PICTURE,Unforgiven
1992,1993,65,SHORT FILM (Animated),Mona Lisa Descending a Staircase
1992,1993,65,SHORT FILM (Live Action),Omnibus
1993,1994,66,DOCUMENTARY (Feature),I Am a Promise: The Children of Stanton Elementary School
1993,1994,66,DOCUMENTARY (Short Subject),Defending Our Lives
1993,1994,66,FOREIGN LANGUAGE FILM,Belle Epoque
1993,1994,66,BEST PICTURE,Schindler's List
1993,1994,66,SHORT FILM (Animated),The Wrong Trousers
1993,1994,66,SHORT FILM (Live Action),Black Rider (Schwarzfahrer)
1994,1995,67,DOCUMENTARY (Feature),Maya Lin: A Strong Clear Vision
1994,1995,67,DOCUMENTARY (Short Subject),A Time for Justice
1994,1995,67,FOREIGN LANGUAGE FILM,Burnt by the Sun
1994,1995,67,BEST PICTURE,Forrest Gump
1994,1995,67,SHORT FILM (Animated),Bob's Birthday
1994,1995,67,SHORT FILM (Live Action),Franz Kafka's It's a Wonderful Life
1994,1995,67,SHORT FILM (Live Action),Trevor
1995,1996,68,DOCUMENTARY (Feature),Anne Frank Remembered
1995,1996,68,DOCUMENTARY (Short Subject),One Survivor Remembers
1995,1996,68,FOREIGN LANGUAGE FILM,Antonia's Line
1995,1996,68,BEST PICTURE,Braveheart
1995,1996,68,SHORT FILM (Animated),A Close Shave
1995,1996,68,SHORT FILM (Live Action),Lieberman in Love
1996,1997,69,DOCUMENTARY (Feature),When We Were Kings
1996,1997,69,DOCUMENTARY (Short Subject),Breathing Lessons: The Life and Work of Mark O'Brien
1996,1997,69,FOREIGN LANGUAGE FILM,Kolya
1996,1997,69,BEST PICTURE,The English Patient
1996,1997,69,SHORT FILM (Animated),Quest
1996,1997,69,SHORT FILM (Live Action),Dear Diary
1997,1998,70,DOCUMENTARY (Feature),The Long Way Home
1997,1998,70,DOCUMENTARY (Short Subject),A Story of Healing
1997,1998,70,FOREIGN LANGUAGE FILM,Character
1997,1998,70,BEST PICTURE,Titanic
1997,1998,70,SHORT FILM (Animated),Geri's Game
1997,1998,70,SHORT FILM (Live Action),Visas and Virtue
1998,1999,71,DOCUMENTARY (Feature),The Last Days
1998,1999,71,DOCUMENTARY (Short Subject),The Personals: Improvisations on Romance in the Golden Years
1998,1999,71,FOREIGN LANGUAGE FILM,Life Is Beautiful
1998,1999,71,BEST PICTURE,Shakespeare in Love
1998,1999,71,SHORT FILM (Animated),Bunny
1998,1999,71,SHORT FILM (Live Action),Election Night (Valgaften)
1999,2000,72,DOCUMENTARY (Feature),One Day in September
1999,2000,72,DOCUMENTARY (Short Subject),King Gimp
1999,2000,72,FOREIGN LANGUAGE FILM,All about My Mother
1999,2000,72,BEST PICTURE,American Beauty
1999,2000,72,SHORT FILM (Animated),The Old Man and the Sea
1999,2000,72,SHORT FILM (Live Action),My Mother Dreams the Satan's Disciples in New York
2000,2001,73,DOCUMENTARY (Feature),Into the Arms of Strangers: Stories of the Kindertransport
2000,2001,73,DOCUMENTARY (Short Subject),Big Mama
2000,2001,73,FOREIGN LANGUAGE FILM,"Crouching Tiger, Hidden Dragon"
2000,2001,73,BEST PICTURE,Gladiator
2000,2001,73,SHORT FILM (Animated),Father and Daughter
2000,2001,73,SHORT FILM (Live Action),Quiero Ser (I want to be...)
2001,2002,74,ANIMATED FEATURE FILM,Shrek
